test_id,generations_config,pop_size,algorithm,generation,median_fitness,q1_fitness,q3_fitness,n_runs
1.1,200,100,eml_ssc,70,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,71,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,72,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,73,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,74,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,75,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,76,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,77,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,78,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,79,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,80,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,81,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,82,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,83,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,84,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,85,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,86,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,87,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,88,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,89,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,90,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,91,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,92,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,93,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,94,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,95,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,96,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,97,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,98,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,99,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,100,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,101,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,102,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,103,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,104,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,105,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,106,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,107,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,108,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,109,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,110,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,111,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,112,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,113,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,114,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,115,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,116,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,117,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,118,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,119,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,120,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,121,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,122,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,123,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,124,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,125,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,126,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,127,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,128,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,129,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,130,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,131,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,132,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,133,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,134,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,135,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,136,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,137,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,138,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,139,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,140,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,141,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,142,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,143,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,144,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,145,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,146,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,147,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,148,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,149,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,150,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,151,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,152,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,153,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,154,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,155,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,156,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,157,0.0,0.0,0.0,30
